slug,lat,lng,scope,place,basis,confidence
complex-crisis-in-sudan-sudan,15.9,29.9,country,Sudan — national,INFORM scopes this crisis at country level; point is Sudan's approximate population-weighted centroid,high
complex-crisis-in-south-sudan-south-sudan,7.3,30.3,country,South Sudan — national,Country-scope crisis; approximate population-weighted centroid,high
conflict-in-ukraine-ukraine,49.0,31.5,country,Ukraine — national,"Country-scope crisis; approximate population-weighted centroid. Hostilities concentrate in the eastern and southern oblasts (Donetsk, Luhansk, Zaporizhzhia, Kherson, Kharkiv)",high
complex-crisis-in-yemen-yemen,14.9,44.2,country,Yemen — national,"Country-scope crisis; population-weighted centroid falls in the western highlands (Sana'a–Taiz–Hodeidah axis), where most Yemenis live",high
complex-crisis-in-afghanistan-afghanistan,34.2,66.5,country,Afghanistan — national,Country-scope crisis; approximate population-weighted centroid,high
complex-crisis-in-drc-drc,-3.5,22.5,country,DR Congo — national,"Country-scope crisis; approximate population-weighted centroid. Armed conflict concentrates in the east (North & South Kivu, Ituri)",high
complex-crisis-in-syria-syria,35.2,37.2,country,Syria — national,Country-scope crisis; population-weighted centroid between Aleppo and Homs,high
complex-crisis-in-myanmar-myanmar,20.0,96.2,country,Myanmar — national,Country-scope crisis; approximate population-weighted centroid on the Yangon–Mandalay axis,high
complex-crisis-in-haiti-haiti,18.8,-72.4,country,Haiti — national,Country-scope crisis; population-weighted centroid near the Port-au-Prince conurbation,high
complex-crisis-in-somalia-somalia,4.5,45.0,country,Somalia — national,Country-scope crisis; approximate population-weighted centroid (previous point sat in the far north-east),high
conflict-in-the-bay-states-nigeria,11.3,12.4,subnational,"Borno, Adamawa & Yobe states (BAY), north-east Nigeria",Centroid of the three named states; the crisis name is explicitly sub-national,high
conflict-and-climatic-shocks-in-burkina-faso-burkina-faso,12.4,-1.6,country,Burkina Faso — national,Country-scope crisis; approximate population-weighted centroid,high
conflict-climatic-and-economic-shocks-in-ethiopia-ethiopia,9.5,39.0,country,Ethiopia — national,Country-scope crisis; approximate population-weighted centroid,high
complex-crisis-in-mali-mali,13.6,-6.3,country,Mali — national,"Country-scope crisis; population-weighted centroid sits in the populated south, not the Saharan geographic centre",high
conflict-and-climatic-shocks-in-colombia-colombia,4.8,-74.6,country,Colombia — national,Country-scope crisis; approximate population-weighted centroid in the Andean corridor,high
complex-crisis-in-chad-chad,11.8,16.0,country,Chad — national,"Country-scope crisis; population-weighted centroid in the populated south, not the Saharan geographic centre",high
conflict-in-gaza-palestine,31.42,34.36,subnational,Gaza Strip,Centroid of the Gaza Strip; the previous point sat ~230 km away in southern Syria,high
conflict-and-climatic-shocks-in-car-car,5.3,19.0,country,Central African Republic — national,Country-scope crisis; approximate population-weighted centroid,high
climatic-shocks-in-pakistan-pakistan,29.5,71.0,country,Pakistan — national,Country-scope crisis; approximate population-weighted centroid in the Indus valley,high
displacement-from-afghanistan-to-iran-iran,33.5,53.0,country,Iran — national (Afghan population dispersed),"Afghan nationals in Iran are dispersed across Tehran, Khorasan Razavi and Sistan-Baluchestan; no single dominant hosting area, so plotted at national scope",medium
conflict-in-iran-iran,33.5,53.0,country,Iran — national,Country-scope crisis; approximate population-weighted centroid,high
complex-crisis-in-lebanon-lebanon,33.87,35.65,country,Lebanon — national,Country-scope crisis; population-weighted centroid near Beirut. Previous point sat inside Syria,high
complex-crisis-in-cameroon-cameroon,5.5,11.8,country,Cameroon — national,Country-scope crisis; approximate population-weighted centroid,high
political-and-economic-crisis-in-venezuela-venezuela,9.8,-67.5,country,Venezuela — national,Country-scope crisis; population-weighted centroid in the northern coastal belt,high
displacement-from-sudan-to-south-sudan-south-sudan,11.75,32.78,reception,Renk & Upper Nile transit centres,"Principal entry and transit point for arrivals from Sudan; onward movement to Malakal and Juba",high
conflict-in-north-west-nigeria-nigeria,12.2,6.2,subnational,"North West Nigeria (Zamfara, Katsina, Sokoto, Kebbi)",Centroid of the named zone,high
complex-crisis-in-niger-niger,13.6,5.5,country,Niger — national,"Country-scope crisis; population-weighted centroid along the southern Sahel belt, not the Saharan geographic centre",high
conflict-in-the-west-bank-palestine,31.95,35.25,subnational,West Bank,Centroid of the West Bank,high
climatic-shocks-and-violence-in-guatemala-guatemala,14.9,-90.5,country,Guatemala — national,Country-scope crisis; approximate population-weighted centroid,high
conflict-in-north-central-nigeria-nigeria,8.9,8.6,subnational,"North Central Nigeria (Benue, Plateau, Nasarawa, Niger)",Centroid of the named zone; the previous point sat in the north-east,high
climatic-shocks-in-burundi-burundi,-3.4,29.9,country,Burundi — national,Country-scope crisis; approximate population-weighted centroid,high
conflict-in-northern-mozambique-mozambique,-12.5,39.4,subnational,Cabo Delgado province,"Centroid of Cabo Delgado, the province named by the crisis; the previous point sat ~800 km south",high
displacement-from-sudan-to-chad-chad,13.6,22.0,reception,Adré crossing & Ouaddaï / Wadi Fira reception areas,Principal border crossing and camp belt for arrivals from Darfur,high
conflict-and-violence-in-ecuador-ecuador,-1.2,-79.0,country,Ecuador — national,Country-scope crisis; population-weighted centroid between Quito and Guayaquil,high
internal-displacement-in-iraq-iraq,33.5,44.0,country,Iraq — national,Country-scope crisis; approximate population-weighted centroid,high
drought-in-asal-areas-of-kenya-kenya,1.8,38.5,subnational,Arid & semi-arid lands (ASAL) — northern and eastern Kenya,Centroid of the ASAL counties named by the crisis,high
displacement-from-syria-to-t-rkiye-t-rkiye,39.6,32.0,country,Türkiye — national (Syrian population split),"Syrians under temporary protection are split between Istanbul and the south-eastern border provinces (Gaziantep, Şanlıurfa, Hatay); no single dominant area, so plotted at national scope",medium
